semantic_category,cve_id,matched_cwes,matched_categories,title,description,public_code_reference,path
Business logic flaws,CVE-2023-0565,,business_logic,Business Logic Errors in froxlor/froxlor,"Business Logic Errors in GitHub repository froxlor/froxlor prior to 2.0.10.

",https://github.com/froxlor/froxlor/commit/2feb8020941a82bfb4ac68890f6ced0e5b3c4a15,cves/2023/0xxx/CVE-2023-0565.json
Business logic flaws,CVE-2023-1541,,business_logic,Business Logic Errors in answerdev/answer,Business Logic Errors in GitHub repository answerdev/answer prior to 1.0.6.,https://github.com/answerdev/answer/commit/15390adbfcd5fd37af4661f992f8873ae5a6b840,cves/2023/1xxx/CVE-2023-1541.json
Business logic flaws,CVE-2023-1542,,business_logic,Business Logic Errors in answerdev/answer,Business Logic Errors in GitHub repository answerdev/answer prior to 1.0.6.,https://github.com/answerdev/answer/commit/4ca2429d190a6e614f5bbee1173c80a7cffcc568,cves/2023/1xxx/CVE-2023-1542.json
Business logic flaws,CVE-2023-1887,,business_logic,Business Logic Errors in thorsten/phpmyfaq,Business Logic Errors in GitHub repository thorsten/phpmyfaq prior to 3.1.12.,https://github.com/thorsten/phpmyfaq/commit/400d9cd988d3287515c56b2ad6343026966f1a89,cves/2023/1xxx/CVE-2023-1887.json
Business logic flaws,CVE-2023-23589,,business_logic,,"The SafeSocks option in Tor before 0.4.7.13 has a logic error in which the unsafe SOCKS4 protocol can be used but not the safe SOCKS4a protocol, aka TROVE-2022-002.",https://gitlab.torproject.org/tpo/core/tor/-/commit/a282145b3634547ab84ccd959d0537c021ff7ffc,cves/2023/23xxx/CVE-2023-23589.json
State machine errors,CVE-2023-34450,,state_machine_error,CometBFT PeerState JSON serialization deadlock,"CometBFT is a Byzantine Fault Tolerant (BFT) middleware that takes a state transition machine and replicates it on many machines. An internal modification made in versions 0.34.28 and 0.37.1 to the way struct `PeerState` is serialized to JSON introduced a deadlock when new function MarshallJSON is called. This function can be called from two places. The first is via logs, setting the `consensus` logging module to ""debug"" level (should not happen in production), and setting the log output format to JSON. The second is via RPC `dump_consensus_state`.

Case 1, which should not be hit in production, will eventually hit the deadlock in most goroutines, effectively halting the node.

In case 2, only the data structures related to the first peer will be deadlocked, together with the thread(s) dealing with the RPC request(s). This means that only one of the channels of communication to the node's peers will be blocked. Eventually the peer will timeout and excluded from the list (typically after 2 minutes). The goroutines involved in the deadlock will not be garbage collected, but they will not interfere with the system after the peer is excluded.

The theoretical worst case for case 2, is a network with only two validator nodes. In this case, each of the nodes only has one `PeerState` struct. If `dump_consensus_state` is called in either node (or both), the chain will halt until the peer connections time out, after which the nodes will reconnect (with different `PeerState` structs) and the chain will progress again. Then, the same process can be repeated.

As the number of nodes in a network increases, and thus, the number of peer struct each node maintains, the possibility of reproducing the perturbation visible with two nodes decreases. Only the first `PeerState` struct will deadlock, and not the others (RPC `dump_consensus_state` accesses them in a for loop, so the deadlock at the first iteration causes the rest of the iterations of that ""for"" loop to never be reached).

This regression was fixed in versions 0.34.29 and 0.37.2. Some workarounds are available. For case 1 (hitting the deadlock via logs), either don't set the log output to ""json"", leave at ""plain"", or don't set the consensus logging module to ""debug"", leave it at ""info"" or higher. For case 2 (hitting the deadlock via RPC `dump_consensus_state`), do not expose `dump_consensus_state` RPC endpoint to the public internet (e.g., via rules in one's nginx setup).",https://github.com/cometbft/cometbft/pull/524,cves/2023/34xxx/CVE-2023-34450.json
State machine errors,CVE-2023-34451,,state_machine_error,CometBFT may duplicate transactions in the mempool's data structures,"CometBFT is a Byzantine Fault Tolerant (BFT) middleware that takes a state transition machine and replicates it on many machines. The mempool maintains two data structures to keep track of outstanding transactions: a list and a map.
These two data structures are supposed to be in sync all the time in the sense that the map tracks the index (if any) of the transaction in the list. In `v0.37.0`, and `v0.37.1`, as well as in `v0.34.28`, and all previous releases of the CometBFT repo2, it is possible to have them out of sync. When this happens, the list may contain several copies of the same transaction. Because the map tracks a single index, it is then no longer possible to remove all the copies of the transaction from the list. This happens even if the duplicated transaction is later committed in a block. The only way to remove the transaction is by restarting the node.

The above problem can be repeated on and on until a sizable number of transactions are stuck in the mempool, in order to try to bring down the target node. The problem is fixed in releases `v0.34.29` and `v0.37.2`. Some workarounds are available. Increasing the value of `cache_size` in `config.toml` makes it very difficult to effectively attack a full node. Not exposing the transaction submission RPC's would mitigate the probability of a successful attack, as the attacker would then have to create a modified (byzantine) full node to be able to perform the attack via p2p.",https://github.com/cometbft/cometbft/pull/890,cves/2023/34xxx/CVE-2023-34451.json
State machine errors,CVE-2023-42805,CWE-20,state_machine_error,quinn-proto Denial of Service vulnerability,"quinn-proto is a state machine for the QUIC transport protocol. Prior to versions 0.9.5 and 0.10.5, receiving unknown QUIC frames in a QUIC packet could result in a panic. The problem has been fixed in 0.9.5 and 0.10.5 maintenance releases.",https://github.com/quinn-rs/quinn/pull/1667,cves/2023/42xxx/CVE-2023-42805.json
State machine errors,CVE-2024-2873,CWE-287,authentication_logic;state_machine_error,User authentication bypass in wolfSSH server,"A vulnerability was found in wolfSSH's server-side state machine before versions 1.4.17. A malicious client could create channels without first performing user authentication, resulting in unauthorized access.
",https://github.com/wolfSSL/wolfssh/pull/670,cves/2024/2xxx/CVE-2024-2873.json
State machine errors,CVE-2024-32644,,state_machine_error,Evmos' transaction execution not accounting for all state transition after interaction with precompiles,"Evmos is a scalable, high-throughput Proof-of-Stake EVM blockchain that is fully compatible and interoperable with Ethereum. Prior to 17.0.0, there is a way to mint arbitrary tokens due to the possibility to have two different states not in sync during the execution of a transaction. The exploit is based on the fact that to sync the Cosmos SDK state and the EVM one, we rely on the `stateDB.Commit()` method. When we call this method, we iterate though all the `dirtyStorage` and, **if and only if** it is different than the `originStorage`, we set the new state. Setting the new state means we update the Cosmos SDK KVStore.  If a contract storage state that is the same before and after a transaction, but is changed during the transaction and can call an external contract after the change, it can be exploited to make the transaction similar to non-atomic. The vulnerability is **critical** since this could lead to drain of funds through creative SC interactions.  The issue has been patched in versions >=V17.0.0.",https://github.com/evmos/evmos/commit/08982b5ee726b97bc50eaf58d1914829648b6a5f,cves/2024/32xxx/CVE-2024-32644.json
Trust boundary errors,CVE-2023-23940,CWE-345,,OpenZeppelin Contracts for Cairo is vulnerable to signature validation bypass,"OpenZeppelin Contracts for Cairo is a library for secure smart contract development written in Cairo for StarkNet, a decentralized ZK Rollup. `is_valid_eth_signature` is missing a call to `finalize_keccak` after calling `verify_eth_signature`. As a result, any contract using `is_valid_eth_signature` from the account library (such as the `EthAccount` preset) is vulnerable to a malicious sequencer. Specifically, the malicious sequencer would be able to bypass signature validation to impersonate an instance of these accounts. The issue has been patched in 0.6.1.
",https://github.com/OpenZeppelin/cairo-contracts/pull/542/commits/6d4cb750478fca2fd916f73297632f899aca9299,cves/2023/23xxx/CVE-2023-23940.json
Trust boundary errors,CVE-2023-23941,CWE-345,,SwagPayPal payment not sent to PayPal correctly,"SwagPayPal is a PayPal integration for shopware/platform. If JavaScript-based PayPal checkout methods are used (PayPal Plus, Smart Payment Buttons, SEPA, Pay Later, Venmo, Credit card), the amount and item list sent to PayPal may not be identical to the one in the created order. The problem has been fixed with version 5.4.4. As a workaround, disable the aforementioned payment methods or use the Security Plugin in version >= 1.0.21.",https://github.com/shopware/SwagPayPal/commit/57db5f4a57ef0a1646b509b415de9f03bf441b08,cves/2023/23xxx/CVE-2023-23941.json
Trust boundary errors,CVE-2023-26114,CWE-346,,,Versions of the package code-server before 4.10.1 are vulnerable to Missing Origin Validation in WebSockets handshakes. Exploiting this vulnerability can allow an adversary in specific scenarios to access data from and connect to the code-server instance.,https://github.com/coder/code-server/commit/d477972c68fc8c8e8d610aa7287db87ba90e55c7,cves/2023/26xxx/CVE-2023-26114.json
Trust boundary errors,CVE-2023-37920,CWE-345,,Certifi's removal of e-Tugra root certificate,"Certifi is a curated collection of Root Certificates for validating the trustworthiness of SSL certificates while verifying the identity of TLS hosts. Certifi prior to version 2023.07.22 recognizes ""e-Tugra"" root certificates. e-Tugra's root certificates were subject to an investigation prompted by reporting of security issues in their systems. Certifi 2023.07.22 removes root certificates from ""e-Tugra"" from the root store.",https://github.com/certifi/python-certifi/commit/8fb96ed81f71e7097ed11bc4d9b19afd7ea5c909,cves/2023/37xxx/CVE-2023-37920.json
Trust boundary errors,CVE-2023-40582,,trust_boundary_error,Command Injection Vulnerability in find-exec,"find-exec is a utility to discover available shell commands. Versions prior to 1.0.3 did not properly escape user input and are vulnerable to Command Injection via an attacker controlled parameter. As a result, attackers may run malicious shell commands in the context of the running process. This issue has been addressed in version 1.0.3. users are advised to upgrade. Users unable to upgrade should ensure that all input passed to find-exec comes from a trusted source.",https://github.com/shime/find-exec/commit/74fb108097c229b03d6dba4cce81e36aa364b51c,cves/2023/40xxx/CVE-2023-40582.json
Certificate validation errors,CVE-2023-0509,,certificate_validation_error,Improper Certificate Validation in pyload/pyload,Improper Certificate Validation in GitHub repository pyload/pyload prior to 0.5.0b3.dev44.,https://github.com/pyload/pyload/commit/a9098bdf7406e6faf9df3da6ff2d584e90c13bbb,cves/2023/0xxx/CVE-2023-0509.json
Certificate validation errors,CVE-2023-25392,,certificate_validation_error,,Allegro Tech BigFlow <1.6 is vulnerable to Missing SSL Certificate Validation.,https://github.com/allegro/bigflow/pull/357,cves/2023/25xxx/CVE-2023-25392.json
Certificate validation errors,CVE-2023-29000,,certificate_validation_error,Nextcloud Desktop client does not verify received singed certificate in end-to-end encryption,"The Nextcloud Desktop Client is a tool to synchronize files from Nextcloud Server. Starting with version 3.0.0 and prior to version 3.7.0, by trusting that the server will return a certificate that belongs to the keypair of the user, a malicious server could get the desktop client to encrypt files with a key known to the attacker. This issue is fixed in Nextcloud Desktop 3.7.0. No known workarounds are available.",https://github.com/nextcloud/desktop/pull/4949,cves/2023/29xxx/CVE-2023-29000.json
Certificate validation errors,CVE-2023-31136,,certificate_validation_error,PostgresNIO processes unencrypted bytes from man-in-the-middle,"PostgresNIO is a Swift client for PostgreSQL. Any user of PostgresNIO prior to version 1.14.2 connecting to servers with TLS enabled is vulnerable to a man-in-the-middle attacker injecting false responses to the client's first few queries, despite the use of TLS certificate verification and encryption. The vulnerability is addressed in PostgresNIO versions starting from 1.14.2. There are no known workarounds for unpatched users.",https://github.com/apple/swift-nio/pull/2419,cves/2023/31xxx/CVE-2023-31136.json
Certificate validation errors,CVE-2023-31484,,certificate_validation_error,,CPAN.pm before 2.35 does not verify TLS certificates when downloading distributions over HTTPS.,https://github.com/andk/cpanpm/pull/175,cves/2023/31xxx/CVE-2023-31484.json
